run_key,run_display,probe_parent_key,probe_parent_display,model_family,run_group,variant_label,probe_source_variant,is_probe,is_placeholder,probe_eval_setting,raw_accuracy,norm_accuracy,raw_macro_f1,norm_macro_f1,raw_macro_precision,norm_macro_precision,raw_macro_recall,norm_macro_recall,n_examples,used_in_main_plots,accuracy_rank_within_probe,macro_f1_rank_within_probe,selection_reason,family_rank,run_group_rank,variant_rank,probe_source_rank,probe_setting_rank
llama32_3b_probe_base:middle,Llama Probe Prompting Zero-shot (Middle layer),llama32_3b_probe_base,Llama Probe Prompting Zero-shot,llama,Probe,Middle layer,Prompting Zero-shot,True,False,Zero-shot,0.5473713033953997,0.5473713033953997,0.5498475659081151,0.5498475659081151,0.5706073456893744,0.5706073456893744,0.5506293218157624,0.5506293218157624,3652,True,1,1,Highest accuracy,0,3,6,0,0
llama32_3b_probe_base:layer_75pct,Llama Probe Prompting Zero-shot (75% depth layer),llama32_3b_probe_base,Llama Probe Prompting Zero-shot,llama,Probe,75% depth layer,Prompting Zero-shot,True,False,Zero-shot,0.5213581599123768,0.5213581599123768,0.5272945148520797,0.5272945148520797,0.5595633982522424,0.5595633982522424,0.5243691633522142,0.5243691633522142,3652,False,2,2,,0,3,7,0,0
llama32_3b_probe_base:last,Llama Probe Prompting Zero-shot (Last layer),llama32_3b_probe_base,Llama Probe Prompting Zero-shot,llama,Probe,Last layer,Prompting Zero-shot,True,False,Zero-shot,0.484118291347207,0.484118291347207,0.46403321535503944,0.46403321535503944,0.47296245902121936,0.47296245902121936,0.47259026581060476,0.47259026581060476,3652,False,3,3,,0,3,8,0,0
llama32_3b_probe_4shot:middle,Llama Probe Prompting 4-shot (Middle layer),llama32_3b_probe_4shot,Llama Probe Prompting 4-shot,llama,Probe,Middle layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,True,1,1,Pending (corrupted 4-shot probe),0,3,6,1,1
llama32_3b_probe_4shot:layer_75pct,Llama Probe Prompting 4-shot (75% depth layer),llama32_3b_probe_4shot,Llama Probe Prompting 4-shot,llama,Probe,75% depth layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,False,1,1,,0,3,7,1,1
llama32_3b_probe_4shot:last,Llama Probe Prompting 4-shot (Last layer),llama32_3b_probe_4shot,Llama Probe Prompting 4-shot,llama,Probe,Last layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,False,1,1,,0,3,8,1,1
llama32_3b_sft_probe:middle,Llama Probe Post-Training SFT (Middle layer),llama32_3b_sft_probe,Llama Probe Post-Training SFT,llama,Probe,Middle layer,Post-Training SFT,True,False,Zero-shot,0.5969331872946331,0.5969331872946331,0.5984401138374092,0.5984401138374092,0.613626122629506,0.613626122629506,0.5981788083482998,0.5981788083482998,3652,False,2,2,,0,3,6,2,0
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama32_3b_sft_probe,Llama Probe Post-Training SFT,llama,Probe,75% depth layer,Post-Training SFT,True,False,Zero-shot,0.6136363636363636,0.6136363636363636,0.6063840379650012,0.6063840379650012,0.6423274403898304,0.6423274403898304,0.6046751351836098,0.6046751351836098,3652,True,1,1,Highest accuracy,0,3,7,2,0
llama32_3b_sft_probe:last,Llama Probe Post-Training SFT (Last layer),llama32_3b_sft_probe,Llama Probe Post-Training SFT,llama,Probe,Last layer,Post-Training SFT,True,False,Zero-shot,0.5750273822562979,0.5750273822562979,0.5691587329594473,0.5691587329594473,0.5709149821650072,0.5709149821650072,0.5687205365171467,0.5687205365171467,3652,False,3,3,,0,3,8,2,0
llama32_3b_dpo_probe:middle,Llama Probe Post-Training DPO (Middle layer),llama32_3b_dpo_probe,Llama Probe Post-Training DPO,llama,Probe,Middle layer,Post-Training DPO,True,False,Zero-shot,0.5435377875136911,0.5435377875136911,0.5455364495387157,0.5455364495387157,0.5701680625157924,0.5701680625157924,0.5483810687200518,0.5483810687200518,3652,False,2,2,,0,3,6,3,0
